ID,English,Others,Japanese
camera1,Camera 1,Camera 1,カメラ1
camera2,Camera 2,Camera 2,カメラ2
camera3,Camera 3,Camera 3,カメラ3
camera4,Camera 4,Camera 4,カメラ4
exit,Exit,Exit,出口
endinvest,End Investigation,End Investigation,サイトを離れる
nighton,Night Vision : On,Night Vision : On,NV:オン
nightoff,Night Vision : Off,Night Vision : Off,NV:オフ
zoom1,Zoom x1.0,Zoom x1.0,ズーム1.0倍
zoom2,Zoom x2.0,Zoom x2.0,ズーム2.0倍
buyitem,Buy Items,Buy Items,商品を購入
chat,Chat...,Chat...,話す...
kneel,Ask to Kneel...,Fuck her ass...,ひざまずいて…
kte,Do 'K.T.E.',Anal Sex Time...,KTEを行う
sextrain,Have Sex...,Fuck Her...,セックスして…
ninfoxtransfo,Transform...,Fox Mode...,変身...
extelixir,Extract elixir...,Fuck Her...,愛のエリクサー…
goodbye,Goodbye!,Goodbye!,さようなら！
ghosthunt,Ghost is Hunting!,Ghost wanna fuck!,幽霊が狩りをしている！
survivehunt,You survived the hunt!,Shame you avoided fucking!,あなたは生き残った！
ghostescape,Ghost has escaped!,You failed to make the ghost cum...,幽霊が逃げ出した！
ghostdown,Ghost is down!,Ghost spread it's ass!,幽霊が倒れた！
ghostdone,Ghost is satisfied for now!,Ghost have made you cum!,幽霊は今のところ幸せです...
ghostmood,Ghost is repelled!,Ghost is in mood!,幽霊は撃退される…
ghost1rev,It's a Powerghost!,It's a Poltergeist!,パワーゴーストだよ！
ghost1cap,A 'Powerghost' is captured.,A 'Poltergeist' is captured.,パワーゴーストが捕らえられる。
ghost2rev,It's a Kupper!,It's a Kappa!,それはクッパーです！
ghost2cap,A 'Kupper' is captured.,A 'Kappa' is captured.,クッパーが捕獲される。
ghost3rev,It's a Shy!,It's a Shade!,シャイです！
ghost3cap,A 'Shy' is captured.,A 'Shade' is captured.,シャイは捕らえられます。
ghost4rev,It’s a Countlanak!,It’s a Kuntilanak!,カウントラナックだ！
ghost4cap,A ‘Countlanak’ is captured.,A ‘Kuntilanak’ is captured.,カウントラナックは捕らえられる。
ghost5rev,It’s ‘Bloody Mariam’!,It’s ‘Horny Mariam’!,ブラッディももえです！
ghost5cap,Blood Mariam is captured.,Horny Mariam is captured.,ブラッディももえが捕らえられる。
ghost6rev,It’s ‘Bansheep’!,It’s ‘Banshee’!,バンシープだよ！
ghost6cap,Bansheep is captured.,Banshee is captured.,バンシープが捕らえられる。
ghost7rev,It’s ‘Weseen’!,It’s ‘Gwisin’!,ヴェーゼーンです！
ghost7cap,Weseen is captured.,Gwisin is captured.,ヴェッセンが捕らえられた！
ghost8rev,It’s ‘Tall Lady’!,It’s ‘Hachishakusama’!,それは背の高い女性です！
ghost8cap,Tall Lady is captured.,Hachishakusama is captured.,長身の女性が捕らえられました！
ghost9rev,It’s ‘Willy O Wisp’!,It’s ‘Onibi’!,炎の幽霊だ！
ghost9cap,Willy O Wisp is captured.,Onibi is captured.,炎の幽霊が捕らえられる。
ghost10rev,It’s ‘Conjurer’!,It’s ‘Conjurer’!,魔術師の出現だ！
ghost10cap,Conjurer is captured,Conjurer is captured.,魔術師の亡霊が捕らえられる。
ghost11rev,It’s ‘You-Rei?’,It’s a ‘Yurei’!,ヨウ・レイ？ですよ。
ghost11cap,You-Rei? Is captured.,Yurei is captured,ヨウ・レイ？が捕らえられる。
ghost12rev,It’s ‘Thunder Girl’!,It’s ‘Rai-onna’!,雷少女です！
ghost12cap,Thunder Girl is captured.,Rai-onna is captured.,雷少女が捕らえられる。
ghost13rev,It’s a ‘Suck-ass-bee’!,It’s a ‘Succubus’!,夢魔です！
ghost13cap,Suck-ass-bee is captured.,Succubus is captured.,夢魔が捕獲された！
wellhide,You are well hidden!,You are well hidden!,よく隠れた！
spotted,You have been spotted!,You have been spotted!,あなたは発見されました！
cha1col,Kara Loft Movie 1/1,Kara Loft Movie 1/1,カラ ロフト ムービー (1/1)
cha2col,50 Days Sex Movie 1/1,Hot MILF Anal Sex Movie 1/1,50 日間のアナルセックス動画 (1/1)
fdrive1not,Luna’s Flash Drive Collected,Tsukiko’s Flash Drive Collected,つきこのUSBが集まりました。
fdrive2not,Mac’s Flash Drive Collected,Masuo’s Flash Drive Collected,ますおのUSBが集まりました。
fdrive3not,Olivia’s Flash Drive Collected,Yoshimi’s Flash Drive Collected,よしみのUSBが集まりました。
wendycloth,Ghost T-Shirt Collected,T-Shirt for Kaori Collected,幽霊Tシャツ集めました。
clothcol11,Uniform Blouse Collected ,Uniform Blouse Collected ,制服ブラウスを集めました。
clothcol12,Uniform Skirt Collected ,Uniform Skirt Collected ,制服スカートを集めました。
clothcol13,Uniform Socks Collected ,Uniform Socks Collected ,制服靴下集めました。
clothcol21,Lust Leotard & Gloves Collected ,Lust Leotard & Gloves Collected ,レオタードと手袋を集めました。
clothcol22,Lust Horns Collected ,Lust Horns Collected ,頭の角を集めました。
clothcol23,Lust Boots & Tail Collected ,Lust Boots & Tail Collected ,ブーツと尻尾を集めました。
clothcol31,Ragged Clothes Collected,Ragged Clothes Collected,患者さんの衣類を集めました。
warning,Warning!!!,Warning!!!,警告！
warntext,This game contains sexual content. You must be 18 and over (or equivalent to your local law) to purchase or play this game. Character depicted in this game are at least 18 and purely based on fiction.  Please do not recreate some action depicted in this game in real-life and we don't endorse any bad behaviours.,This game contains sexual content. You must be 18 and over (or equivalent to your local law) to purchase or play this game. Character depicted in this game are at least 18 and purely based on fiction.  Please do not recreate some action depicted in this game in real-life and we don't endorse any bad behaviours.,このゲームには性的なコンテンツが含まれています。このゲームをプレイまたは購入するには18歳以上である必要があります。このゲームで描かれるすべてのキャラクターは18歳以上であり、純粋にフィクションに基づいています。一部のアクションを現実で再現しないでください。また、悪い行為を推奨するものでもありません。
comptabname,Lustful Sprit Hunt...,Fuck A Ghussy...,欲情する精霊狩り…
compurl,https://www.lustfulspirithunter.com/reports%%number%%=,https://www.fuckaghussy.com/reports%%number%%=,https://www.lustfulspirithunter.com/reports%%number%%=
compcaseno,Case # ,Case # ,場合＃
compobj1,1. Ghost Indentification -,1. Ghost Indentification -,1.幽霊の識別:-
compobj2,2. Ghost Banishment -,2. Ghost Banishment -,2.幽霊追放:-
compsubmit,Submit & Exit,Submit & Exit,送信して終了する
compupload,Upload Video,Upload Sex Video,アップロード
compdesob1,Survive a ghost hunt.,Avoid getting fucked by a ghost.,幽霊狩りから生き残る。
compdesob2,Take a photo of ghost using motion camera.,Take a photo of the ghost with camera.,心霊写真を撮ります。
compdesob3,Get an EMF reading.,Get an EMF reading.,EMF の読み取り値を取得します。
compdesob4,Get a candle extinguished by a ghost.,Get a candle extinguished by a ghost.,幽霊によってキャンドルが消えた。
compdesob5,Get fear meter to 70% or more.,Get fear meter to 70% or more.,恐怖メーターが70%以上になる。
compdesob6,Do K.T.E. with Luna.,Fuck Tsukiko's ass.,つきこのお尻をファックして。
compdesob6a,Have sex with Wendy.,Have sex with Kaori.,かおりとセックスする。
compdesob7,Use incense stick in the ghost room.,Use incense stick in the ghost room.,幽霊部屋でお線香を使います。
compdesob8,Travel more than 250m.,Travel more than 250m.,250メートル以上移動します。
compsearchbar,Search old reports,Search old reports,古いレポートを検索する
ghostname1,Power Ghost,Poltergeist,パワーゴースト
ghostname2,Kupper,Kappa,クッパー
ghostname3,Shy,Shade,シャイ
ghostname4,Countlanak,Kuntilanak,カウントラナック
ghostname5,Bloody Mariam,Bloody Mariam,ブラッディももえ
ghostname6,Bansheep,Banshee,バンシープ
ghostname7,Weseen,Gwisin,ヴェゼーン
ghostname8,Tall Lady,Hachishakusama,背の高い女性
ghostname9,Willy O Wisp,Onibi,炎の幽霊
ghostname10,Conjurer,Conjurer,魔術師の幻影
ghostname11,You-Rei?,Yurei,ヨウ・レイ？
ghostname12,Thunder Girl,Rai-onna,雷少女
