ID,English,Others,Japanese
mainchannelname1,LunaTheHunter,TsukikoTheHunter,つきこザ・ハンター
mainchannelname2,ParanormalCouple,ParanormalCouple,超常現象デュオ
wendytitle,We caught a real ghost!!!,Asshole cheating on me for a ghost pussy...,本物の幽霊を捕まえました！
poltertitle,We encountered a Powerghost!,Flying fuck with a 'Poltergeist'...,パワーゴーストに遭遇しました！
kappatitle,Kupper caught during the investigation!!!,Kupper pussy drilled during a case.,クッパーを捕まえました！
shadetitle,A 'Shy' ghost revealed itself!!!,Horny Shade ghost fucked..,「シャイ」が正体を現した…
kuntiltitle,Deadly 'Countlanak' captured!!! Watch now!,This Countlanak never knew who fucked her...,カウントラナックに吸い取られそうになった...
bloodmartitle,The famous mirror ghost 'Bloody Mariam'!,Pounding the butt slut Bloody Mariam...,有名な鏡の幽霊「ブラッディ・ももえ」…
banshtitle,Surviving a bansheep screech to capture it...,Put earplugs on and enjoy Banshee sex....,バンシープの金切り声から生き残った...
gwistitle,This lovely ghost fell in love with me...,This ghost gives best boobjob!!!,この素敵な幽霊が私に恋をした…
hachititle,Risking my dick to catch a Tall Lady...,Fucking ghost of Mrs. Hirakawa...,背の高い女性が私のペニスを折ってしまいそうになった...
onibititle,Caught the hottest ghost!!! Literally...,This ghost fried my meat during sex!!!,一番ホットな幽霊を捕まえた!!!
conjurertitle,I was bewitched by this sexy mage...,This ghost love my dick massive...,このセクシーな魔術師に私は魅了されました...
yureititle,Almost became one on this contract...,I can’t resist a boobjob from this ghost...,私自身も幽霊になりそうになりました…
raionnatitle,Caught an actual thunder girl...,It was shockly good sex with her...,私たちは雷少女を捕まえました...
succubititle,My sleep paralysis demon is real!!!,If that’s my sleep paralysis demon then...,私の睡眠麻痺の悪魔は本物です！
usernameg1,AnyaSawyerVT,AnkoSatoVT,佐藤 あんこVT
usernameg2,HotFistGirl,RedKatsLeader,熱い拳の女の子
usernameg3,MariHFord,GrumpyChick,平川ますみ
usernameg4,RealRuthHillford,RealReikoHirakawa,本物の平川れいこ
usernameg5,CuteElf,JunsaShishime,かわいいエルフ
usernameg6,GangbangGirl,HornyGirl,ふしだらな女の子
usernameg7,30DMaid,30DayMaid,30日メイド
